Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
14 - დედოფლისწყარო,16,,,,დედოფლისწყარო-16,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,17,,,,დედოფლისწყარო-17,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,18,,,,დედოფლისწყარო-18,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,19,,,,დედოფლისწყარო-19,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,2,,,,დედოფლისწყარო-2,,,,,,,,,,,1,19,11,0,2413,114,1,1,0,1,1
14 - დედოფლისწყარო,20,,,,დედოფლისწყარო-20,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,3,,,,დედოფლისწყარო-3,,,,,,,,,,,1,3,10,0,381,12,1,1,0,1,1
14 - დედოფლისწყარო,4,,,,დედოფლისწყარო-4,,,,,,,,,,,1,5,11,0,635,30,1,1,0,1,1
14 - დედოფლისწყარო,5,,,,დედოფლისწყარო-5,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,6,,,,დედოფლისწყარო-6,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,7,,,,დედოფლისწყარო-7,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,8,,,,დედოფლისწყარო-8,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,9,,,,დედოფლისწყარო-9,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,1,,,,ლაგოდეხი-1,,,,,,,,,,,1,0,11,1,126,2,1,0,1,1,1
15 - ლაგოდეხი,10,,,,ლაგოდეხი-10,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,11,,,,ლაგოდეხი-11,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,12,,,,ლაგოდეხი-12,,,,,,,,,,,1,13,11,1,1638,13,1,1,1,1,1
15 - ლაგოდეხი,13,,,,ლაგოდეხი-13,,,,,,,,,,,1,4,11,1,504,8,1,1,1,1,1
15 - ლაგოდეხი,14,,,,ლაგოდეხი-14,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,15,,,,ლაგოდეხი-15,,,,,,,,,,,1,8,18,1,1424,40,2,1,1,2,1
15 - ლაგოდეხი,16,,,,ლაგოდეხი-16,,,,,,,,,,,1,15,20,0,3000,180,2,2,0,2,1
15 - ლაგოდეხი,17,,,,ლაგოდეხი-17,,,,,,,,,,,1,23,27,1,6854,322,3,2,1,3,1
15 - ლაგოდეხი,18,,,,ლაგოდეხი-18,,,,,,,,,,,1,9,28,3,7155,243,4,3,3,4,1
15 - ლაგოდეხი,19,,,,ლაგოდეხი-19,,,,,,,,,,,1,7,23,1,1743,21,3,2,1,3,1
15 - ლაგოდეხი,2,,,,ლაგოდეხი-2,,,,,,,,,,,1,5,11,0,640,20,1,1,0,1,1
15 - ლაგოდეხი,20,,,,ლაგოდეხი-20,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,21,,,,ლაგოდეხი-21,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,22,,,,ლაგოდეხი-22,,,,,,,,,,,1,0,11,0,90,0,1,0,0,1,1
15 - ლაგოდეხი,23,,,,ლაგოდეხი-23,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,24,,,,ლაგოდეხი-24,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,25,,,,ლაგოდეხი-25,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,26,,,,ლაგოდეხი-26,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15 - ლაგოდეხი,27,,,,ლაგოდეხი-27,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
